years,Age group,Cause of death (ICD-10),VALUE
2006,85 to 89 years,Chapter II: Neoplasms [C00-D48],6865
2007,85 to 89 years,Chapter II: Neoplasms [C00-D48],7431
2008,85 to 89 years,Chapter II: Neoplasms [C00-D48],7785
2009,85 to 89 years,Chapter II: Neoplasms [C00-D48],8133
2010,85 to 89 years,Chapter II: Neoplasms [C00-D48],8459
2011,85 to 89 years,Chapter II: Neoplasms [C00-D48],8586
2012,85 to 89 years,Chapter II: Neoplasms [C00-D48],8779
2013,85 to 89 years,Chapter II: Neoplasms [C00-D48],9003
2014,85 to 89 years,Chapter II: Neoplasms [C00-D48],9169
2015,85 to 89 years,Chapter II: Neoplasms [C00-D48],9031
2016,85 to 89 years,Chapter II: Neoplasms [C00-D48],9776
2017,85 to 89 years,Chapter II: Neoplasms [C00-D48],9810
2018,85 to 89 years,Chapter II: Neoplasms [C00-D48],9840
2000,85 to 89 years,Malignant neoplasms [C00-C97],5386
2001,85 to 89 years,Malignant neoplasms [C00-C97],5756
2002,85 to 89 years,Malignant neoplasms [C00-C97],5957
2003,85 to 89 years,Malignant neoplasms [C00-C97],6019
2004,85 to 89 years,Malignant neoplasms [C00-C97],5964
2005,85 to 89 years,Malignant neoplasms [C00-C97],6320
2006,85 to 89 years,Malignant neoplasms [C00-C97],6632
2007,85 to 89 years,Malignant neoplasms [C00-C97],7194
2008,85 to 89 years,Malignant neoplasms [C00-C97],7539
2009,85 to 89 years,Malignant neoplasms [C00-C97],7838
2010,85 to 89 years,Malignant neoplasms [C00-C97],8183
2011,85 to 89 years,Malignant neoplasms [C00-C97],8284
2012,85 to 89 years,Malignant neoplasms [C00-C97],8488
2013,85 to 89 years,Malignant neoplasms [C00-C97],8689
2014,85 to 89 years,Malignant neoplasms [C00-C97],8899
2015,85 to 89 years,Malignant neoplasms [C00-C97],8776
2016,85 to 89 years,Malignant neoplasms [C00-C97],9456
2017,85 to 89 years,Malignant neoplasms [C00-C97],9522
2018,85 to 89 years,Malignant neoplasms [C00-C97],9524
2000,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",64
2001,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",76
2002,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",51
2003,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",72
2004,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",71
2005,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",71
2006,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",78
2007,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",72
2008,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",78
2009,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",82
2010,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",77
2011,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",89
2012,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",94
2013,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",105
2014,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",107
2015,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",121
2016,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",128
2017,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",133
2018,85 to 89 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",129
2000,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],1647
2001,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],1746
2002,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],1825
2003,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],1744
2004,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],1797
2005,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],1862
2006,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],1955
2007,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2053
2008,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2224
2009,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2231
2010,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2398
2011,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2406
2012,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2393
2013,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2492
2014,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2536
2015,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2492
2016,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2762
2017,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2662
2018,85 to 89 years,Malignant neoplasms of digestive organs [C15-C26],2724
2000,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],895
2001,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1000
2002,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1085
2003,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1089
2004,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1050
2005,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1124
2006,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1300
2007,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1420
2008,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1506
2009,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1555
2010,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1602
2011,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1658
2012,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1765
2013,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1817
2014,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1878
2015,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1867
2016,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1971
2017,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1984
2018,85 to 89 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1957
2000,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2001,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2002,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2003,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2004,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],4
2005,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2006,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2007,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2008,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],11
2009,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],11
2010,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],15
2011,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],16
2012,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2013,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2014,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],12
2015,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],14
2016,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],17
2017,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],15
2018,85 to 89 years,Malignant neoplasms of bone and articular cartilage [C40-C41],15
2000,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],63
2001,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],73
2002,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],84
2003,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],97
2004,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],84
2005,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],108
2006,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],111
2007,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],107
2008,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],100
2009,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],147
2010,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],159
2011,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],149
2012,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],163
2013,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],170
2014,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],190
2015,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],203
2016,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],221
2017,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],209
2018,85 to 89 years,Melanoma and other malignant neoplasms of skin [C43-C44],229
2000,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],38
2001,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],32
2002,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],31
2003,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],53
2004,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],39
2005,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],57
2006,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],70
2007,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],63
2008,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],69
2009,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],74
2010,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],92
2011,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],84
2012,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],106
2013,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],123
2014,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],108
2015,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],113
2016,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],115
2017,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],131
2018,85 to 89 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],108
2000,85 to 89 years,Malignant neoplasm of breast [C50],407
2001,85 to 89 years,Malignant neoplasm of breast [C50],480
2002,85 to 89 years,Malignant neoplasm of breast [C50],455
2003,85 to 89 years,Malignant neoplasm of breast [C50],451
2004,85 to 89 years,Malignant neoplasm of breast [C50],437
2005,85 to 89 years,Malignant neoplasm of breast [C50],477
2006,85 to 89 years,Malignant neoplasm of breast [C50],454
2007,85 to 89 years,Malignant neoplasm of breast [C50],491
2008,85 to 89 years,Malignant neoplasm of breast [C50],518
2009,85 to 89 years,Malignant neoplasm of breast [C50],506
2010,85 to 89 years,Malignant neoplasm of breast [C50],537
2011,85 to 89 years,Malignant neoplasm of breast [C50],547
2012,85 to 89 years,Malignant neoplasm of breast [C50],510
2013,85 to 89 years,Malignant neoplasm of breast [C50],507
2014,85 to 89 years,Malignant neoplasm of breast [C50],528
2015,85 to 89 years,Malignant neoplasm of breast [C50],512
2016,85 to 89 years,Malignant neoplasm of breast [C50],520
2017,85 to 89 years,Malignant neoplasm of breast [C50],571
2018,85 to 89 years,Malignant neoplasm of breast [C50],521
2000,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],208
2001,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],213
2002,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],230
2003,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],252
2004,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],257
2005,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],222
2006,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],250
2007,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],314
2008,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],285
2009,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],297
2010,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],326
2011,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],275
2012,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],320
2013,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],331
2014,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],350
2015,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],325
2016,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],338
2017,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],347
2018,85 to 89 years,Malignant neoplasms of female genital organs [C51-C58],368
2000,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],622
2001,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],620
2002,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],629
2003,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],618
2004,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],664
2005,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],666
2006,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],644
2007,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],720
2008,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],746
2009,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],778
2010,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],812
2011,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],792
2012,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],801
2013,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],836
2014,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],896
2015,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],828
2016,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],909
2017,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],903
2018,85 to 89 years,Malignant neoplasms of male genital organs [C60-C63],959
2000,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],354
2001,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],334
2002,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],340
2003,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],362
2004,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],351
2005,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],392
2006,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],428
2007,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],448
2008,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],485
2009,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],540
2010,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],509
2011,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],542
2012,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],583
2013,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],668
2014,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],610
2015,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],668
2016,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],705
2017,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],725
2018,85 to 89 years,Malignant neoplasms of urinary tract [C64-C68],720
2000,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",50
2001,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",46
2002,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",43
2003,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",56
2004,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",52
2005,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",62
2006,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",73
2007,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",73
2008,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",101
2009,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",87
2010,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",117
2011,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",119
2012,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",104
2013,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",112
2014,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",115
2015,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",107
2016,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",130
2017,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",138
2018,85 to 89 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",119
2000,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],13
2001,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],17
2002,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],15
2003,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],17
2004,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],25
2005,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],18
2006,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],21
2007,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],15
2008,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],28
2009,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],38
2010,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],39
2011,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],22
2012,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],21
2013,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],44
2014,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],33
2015,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],33
2016,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],37
2017,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],35
2018,85 to 89 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],34
2000,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",399
2001,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",446
2002,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",457
2003,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",461
2004,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",434
2005,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",474
2006,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",475
2007,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",566
2008,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",557
2009,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",506
2010,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",554
2011,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",565
2012,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",599
2013,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",502
2014,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",545
2015,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",516
2016,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",600
2017,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",590
2018,85 to 89 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",584
2000,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",510
2001,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",555
2002,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",583
2003,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",612
2004,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",594
2005,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",640
2006,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",641
2007,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",725
2008,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",675
2009,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",830
2010,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",789
2011,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",855
2012,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",851
2013,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",975
2014,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",991
2015,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",977
2016,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",1003
2017,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",1079
2018,85 to 89 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",1057
2000,90 years and over,"Total, all causes of death [A00-Y89]",28009
2001,90 years and over,"Total, all causes of death [A00-Y89]",29096
2002,90 years and over,"Total, all causes of death [A00-Y89]",30417
2003,90 years and over,"Total, all causes of death [A00-Y89]",31506
2004,90 years and over,"Total, all causes of death [A00-Y89]",32830
2005,90 years and over,"Total, all causes of death [A00-Y89]",34136
2006,90 years and over,"Total, all causes of death [A00-Y89]",34901
2007,90 years and over,"Total, all causes of death [A00-Y89]",36584
2008,90 years and over,"Total, all causes of death [A00-Y89]",37711
2009,90 years and over,"Total, all causes of death [A00-Y89]",38197
2010,90 years and over,"Total, all causes of death [A00-Y89]",40759
2011,90 years and over,"Total, all causes of death [A00-Y89]",42749
2012,90 years and over,"Total, all causes of death [A00-Y89]",44873
2013,90 years and over,"Total, all causes of death [A00-Y89]",47921
2014,90 years and over,"Total, all causes of death [A00-Y89]",50222
2015,90 years and over,"Total, all causes of death [A00-Y89]",52452
2016,90 years and over,"Total, all causes of death [A00-Y89]",53656
2017,90 years and over,"Total, all causes of death [A00-Y89]",58050
2018,90 years and over,"Total, all causes of death [A00-Y89]",60402
2000,90 years and over,Chapter II: Neoplasms [C00-D48],3148
2001,90 years and over,Chapter II: Neoplasms [C00-D48],3255
2002,90 years and over,Chapter II: Neoplasms [C00-D48],3467
2003,90 years and over,Chapter II: Neoplasms [C00-D48],3677
2004,90 years and over,Chapter II: Neoplasms [C00-D48],3789
2005,90 years and over,Chapter II: Neoplasms [C00-D48],3895
2006,90 years and over,Chapter II: Neoplasms [C00-D48],4066
2007,90 years and over,Chapter II: Neoplasms [C00-D48],4349
2008,90 years and over,Chapter II: Neoplasms [C00-D48],4410
2009,90 years and over,Chapter II: Neoplasms [C00-D48],4546
2010,90 years and over,Chapter II: Neoplasms [C00-D48],4869
2011,90 years and over,Chapter II: Neoplasms [C00-D48],5216
2012,90 years and over,Chapter II: Neoplasms [C00-D48],5708
2013,90 years and over,Chapter II: Neoplasms [C00-D48],6009
2014,90 years and over,Chapter II: Neoplasms [C00-D48],6374
2015,90 years and over,Chapter II: Neoplasms [C00-D48],6650
2016,90 years and over,Chapter II: Neoplasms [C00-D48],7083
2017,90 years and over,Chapter II: Neoplasms [C00-D48],7441
2018,90 years and over,Chapter II: Neoplasms [C00-D48],7598
2000,90 years and over,Malignant neoplasms [C00-C97],3003
2001,90 years and over,Malignant neoplasms [C00-C97],3108
2002,90 years and over,Malignant neoplasms [C00-C97],3273
2003,90 years and over,Malignant neoplasms [C00-C97],3510
2004,90 years and over,Malignant neoplasms [C00-C97],3612
2005,90 years and over,Malignant neoplasms [C00-C97],3706
2006,90 years and over,Malignant neoplasms [C00-C97],3884
2007,90 years and over,Malignant neoplasms [C00-C97],4150
2008,90 years and over,Malignant neoplasms [C00-C97],4197
2009,90 years and over,Malignant neoplasms [C00-C97],4356
2010,90 years and over,Malignant neoplasms [C00-C97],4655
2011,90 years and over,Malignant neoplasms [C00-C97],4992
2012,90 years and over,Malignant neoplasms [C00-C97],5487
2013,90 years and over,Malignant neoplasms [C00-C97],5753
2014,90 years and over,Malignant neoplasms [C00-C97],6139
2015,90 years and over,Malignant neoplasms [C00-C97],6378
2016,90 years and over,Malignant neoplasms [C00-C97],6778
2017,90 years and over,Malignant neoplasms [C00-C97],7107
2018,90 years and over,Malignant neoplasms [C00-C97],7258
2000,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",28
2001,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",34
2002,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",47
2003,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",34
2004,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",36
2005,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",44
2006,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",46
2007,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",49
2008,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",57
2009,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",54
2010,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",73
2011,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",64
2012,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",66
